tahun,bulan,puskesmas,desa,sasaran,sangat pendek,pendek,normal,tinggi,jumlah balita diukur,stunting,stunting (%)
2024,maret,SOPAAH,MAJUNGAN,124,2,5,108,2,117,7,5.982905983
2024,maret,SOPAAH,PADELEGAN,264,0,0,234,0,234,0,0
2024,maret,SOPAAH,TANJUNG,582,3,39,278,2,322,42,13.04347826
2024,maret,SOPAAH,PADEMAWU TIMUR,509,0,4,365,2,371,4,1.078167116
2024,maret,SOPAAH,JARIN,284,0,0,236,5,241,0,0
2024,maret,SOPAAH,PREKBUN,85,0,4,61,1,66,4,6.060606061
2024,maret,SOPAAH,SOPA'AH,62,3,2,44,3,52,5,9.615384615
2024,maret,SOPAAH,BUDDIH,75,0,2,71,2,75,2,2.666666667
2024,maret,SOPAAH,DURBUK,205,0,3,130,0,133,3,2.255639098
2024,maret,SOPAAH,SUMEDANGAN,286,0,0,262,1,263,0,0
2024,maret,GALIS,KONANG,287,4,7,222,29,262,11,4.198473282
2024,maret,GALIS,PANDAN,81,2,3,73,2,80,5,6.25
2024,maret,GALIS,LEMBUNG,92,1,1,84,3,89,2,2.247191011
2024,maret,GALIS,GALIS,185,1,0,182,6,189,1,0.529100529
2024,maret,GALIS,BULAY,183,3,1,29,0,33,4,12.12121212
2024,maret,GALIS,TOBUNGAN,201,2,0,182,9,193,2,1.03626943
2024,maret,GALIS,PAGENDINGAN,158,2,1,152,4,159,3,1.886792453
2024,maret,GALIS,PONTEH,188,0,2,107,45,154,2,1.298701299
2024,maret,GALIS,POLAGAN,317,1,3,294,9,307,4,1.302931596
2024,maret,GALIS,ARTODUNG,117,2,3,111,0,116,5,4.310344828
2024,maret,LARANGAN,PELTONG,216,0,0,119,0,119,0,0
2024,maret,LARANGAN,TRASAK,414,0,8,265,0,273,8,2.93040293
2024,maret,LARANGAN,TENTENAN BARAT,114,1,2,80,0,83,3,3.614457831
2024,maret,LARANGAN,TENTENAN TIMUR,159,2,6,80,1,89,8,8.988764045
2024,maret,LARANGAN,GRUJUGAN,305,1,0,146,0,147,1,0.680272109
2024,maret,LARANGAN,BLUMBUNGAN,1397,1,4,674,79,758,5,0.659630607
2024,maret,LARANGAN,LARANGAN LUAR,635,5,6,379,0,390,11,2.820512821
2024,maret,TALANG,LARANGAN DALAM,215,0,3,255,0,258,3,1.162790698
2024,maret,TALANG,PANAGUAN,160,0,6,156,0,162,6,3.703703704
2024,maret,TALANG,MONTOK,209,0,6,200,0,206,6,2.912621359
2024,maret,TALANG,KADUARA BARAT,264,0,7,254,0,261,7,2.681992337
2024,maret,TALANG,LANCAR,117,0,5,114,0,119,5,4.201680672
2024,maret,TALANG,TARABAN,71,0,3,76,0,79,3,3.797468354
2024,maret,TALANG,DUKUH TIMUR,162,0,10,156,0,166,10,6.024096386
2024,maret,TEJA,TEJAH BARAT,242,1,4,227,2,234,5,2.136752137
2024,maret,TEJA,TEJAH TIMUR,240,4,6,202,4,216,10,4.62962963
2024,maret,TEJA,JALMAK,182,0,1,168,0,169,1,0.591715976
2024,maret,TEJA,LADEN,328,6,14,227,3,250,20,8
2024,maret,TEJA,PANEMPAN,200,1,5,177,0,183,6,3.278688525
2024,maret,TEJA,KANGENAN,357,4,3,336,0,343,7,2.040816327
2024,maret,TEJA,PATEMON,316,0,5,311,1,317,5,1.577287066
2024,maret,TEJA,BARURAMBAT KOTA,524,2,0,501,0,503,2,0.397614314
2024,maret,TEJA,PARTEKER,265,4,0,248,0,252,4,1.587301587
2024,maret,TEJA,JUNGCANGCANG,411,0,4,380,0,384,4,1.041666667
2024,maret,KOWEL,BETTET,318,3,0,157,11,171,3,1.754385965
2024,maret,KOWEL,NYLABU LAOK,289,0,6,170,2,178,6,3.370786517
2024,maret,KOWEL,NYLABU DAYA,484,1,1,184,1,187,2,1.069518717
2024,maret,KOWEL,BUGIH,765,0,4,508,1,513,4,0.779727096
2024,maret,KOWEL,GLADAK ANYAR,1158,0,4,518,3,525,4,0.761904762
2024,maret,KOWEL,KOLPAJUNG,537,0,1,388,7,396,1,0.252525253
2024,maret,KOWEL,KOWEL,694,2,9,407,0,418,11,2.631578947
2024,maret,KOWEL,TORONAN,257,1,3,191,0,195,4,2.051282051
2024,maret,PROPPO,TOKET,252,0,1,155,0,156,1,0.641025641
2024,maret,PROPPO,KARANGANYAR,139,0,3,71,2,76,3,3.947368421
2024,maret,PROPPO,SAMIRAN,208,5,8,109,2,124,13,10.48387097
2024,maret,PROPPO,PROPPO,244,8,16,63,0,87,24,27.5862069
2024,maret,PROPPO,MAPPER,243,1,5,85,0,91,6,6.593406593
2024,maret,PROPPO,PANGLEMAH,141,1,8,90,0,99,9,9.090909091
2024,maret,PROPPO,BILLA'AN,294,0,7,138,1,146,7,4.794520548
2024,maret,PROPPO,TLANGOH,193,0,1,20,0,21,1,4.761904762
2024,maret,PROPPO,KODIK,135,0,3,68,1,72,3,4.166666667
2024,maret,PROPPO,LENTENG,95,1,0,29,0,30,1,3.333333333
2024,maret,PROPPO,SAMATAN,194,0,10,133,0,143,10,6.993006993
2024,maret,PROPPO,KLAMPAR,457,3,1,203,6,213,4,1.877934272
2024,maret,PROPPO,RANG PERANG LAOK,210,0,4,82,1,87,4,4.597701149
2024,maret,PROPPO,PANGURAYAN,216,1,1,65,0,67,2,2.985074627
2024,maret,PROPPO,BANYUBULU,299,1,5,117,4,127,6,4.724409449
2024,maret,PROPPO,RANG PERANG DAYA,180,0,3,154,3,160,3,1.875
2024,maret,PANAGUAN,GRO'OM,221,0,0,174,4,178,0,0
2024,maret,PANAGUAN,BATUKALANGAN,286,2,2,131,56,191,4,2.094240838
2024,maret,PANAGUAN,CANDIBURUNG,255,0,0,179,3,182,0,0
2024,maret,PANAGUAN,PANGTONGGAL,348,2,5,219,2,228,7,3.070175439
